11/06/2025 09:42:42.556 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (b8c6) to lichess
11/06/2025 09:42:43.121 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:42:43.121 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: b8c6
11/06/2025 09:42:49.683 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:42:49.684 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: d4d5
11/06/2025 09:43:39.620 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (c6d4) to lichess
11/06/2025 09:43:40.176 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:43:40.181 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: c6d4
11/06/2025 09:43:43.892 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:43:43.892 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f3d4
11/06/2025 09:43:48.904 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (e5d4) to lichess
11/06/2025 09:43:49.436 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:43:49.436 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e5d4
11/06/2025 09:43:56.915 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:43:56.916 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: d1d4
11/06/2025 09:44:24.716 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (d8e7) to lichess
11/06/2025 09:44:25.275 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:44:25.276 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: d8e7
11/06/2025 09:44:32.126 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:44:32.128 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e1g1
11/06/2025 09:44:51.696 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (c7c5) to lichess
11/06/2025 09:44:52.256 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:44:52.257 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: c7c5
11/06/2025 09:44:57.763 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:44:57.764 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: d4e3
11/06/2025 09:45:11.874 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (f6g4) to lichess
11/06/2025 09:45:12.434 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
